Filename,Drug Name,Cancer Type,Number of Patients,Treatment_OS,Control_OS,OS_Improvement (%),Treatment_PFS,Control_PFS,PFS_Improvement (%),Other Outcome Measures,Brief Study Summary,Formatted Study Results
page_133.txt,Crizotinib (Xalkori),Inflammatory anaplastic lymphoma kinase (ALK)-positive myofibroblastic tumors (IMT),14 pediatric patients and 7 adult patients,Not provided,Not provided,Not provided,Not provided,Not provided,Not provided,"{'ORR': {'Pediatric Patients': '86% objective response rate', 'Adult Patients': '5 patients with objective responses'}}","Crizotinib (Xalkori) was approved for unresectable, recurrent, or refractory ALK-positive IMT in pediatric and adult patients. The trials showed an 86% objective response rate in pediatric patients and 5 adult patients with objective responses. Common adverse reactions included vomiting, nausea, diarrhea, and vision disorders. Recommended doses vary for adults and pediatric patients. Crizotinib received orphan drug designation.","Overall, the study found that crizotinib showed promising efficacy in both pediatric and adult patients with unresectable, recurrent, or refractory ALK-positive IMT. The objective response rate (ORR) was 86% in pediatric patients and 71% in adult patients. The median duration of response (DOR) was not provided in the summary. The study did not report specific data on overall survival (OS) or progression-free survival (PFS). These results suggest that crizotinib may be a beneficial treatment option for patients with this type of cancer, with a high rate of objective responses observed in both age groups."
page_134.txt,lisocabtagene maraleucel,large B-cell lymphoma (LBCL),184,Not provided,Not provided,Not provided,Not provided,Not provided,Not provided,"{'Event-Free Survival (EFS)': {'Hazard Ratio': '0.34', '1-year EFS': {'lisocabtagene maraleucel arm': '45%', 'standard therapy arm': '24%'}, 'Median EFS': {'lisocabtagene maraleucel arm': '10.1 months', 'standard therapy arm': '2.3 months'}}, 'Progression-Free Survival (PFS)': {'Hazard Ratio': '0.41'}, 'Complete Response Rate (CR)': '54%', 'Duration of Response (DOR)': {'CR patients': 'Not reached', 'PR patients': '2.1 months'}}","The study evaluated the efficacy of lisocabtagene maraleucel in adult patients with large B-cell lymphoma who had refractory disease or relapse. Results showed significant improvements in event-free survival and progression-free survival compared to standard therapy. Additionally, a high complete response rate was observed in transplant-ineligible patients. However, the treatment is associated with risks of cytokine release syndrome and neurologic toxicities, requiring a Risk Evaluation and Mitigation Strategy.","In the TRANSFORM study, patients with refractory LBCL or relapse within 12 months of CR to first-line therapy were randomized to receive lisocabtagene maraleucel or standard therapy. Lisocabtagene maraleucel showed significantly longer event-free survival (EFS) and progression-free survival compared to standard therapy. In the PILOT study, transplant-ineligible patients with relapsed or refractory LBCL achieved a 54% CR rate with lisocabtagene maraleucel. The median duration of response (DOR) was not reached in CR patients. Overall, 46% of patients achieved CR. FDA approved lisocabtagene maraleucel for LBCL, but with a Risk Evaluation and Mitigation Strategy due to the risk of CRS and neurologic toxicities."
page_135.txt,Dabrafenib (Tafinlar) in combination with trametinib (Mekinist),Solid tumors with BRAF V600E mutation,131 adult patients and 36 pediatric patients,Not provided,Not provided,Not provided,Not provided,Not provided,Not provided,"{'ORR': {'Adult Patients': '41% with objective response', 'Pediatric Patients': '25% with objective response', 'DOR': {'≥6 months': '78% of pediatric patients', '≥24 months': '44% of pediatric patients'}}}","Accelerated approval granted to dabrafenib in combination with trametinib for the treatment of solid tumors with BRAF V600E mutation in patients who have progressed following prior treatment. Efficacy demonstrated through objective response rates in adult and pediatric patients, with a notable duration of response in pediatric patients. Common adverse reactions reported in both adult and pediatric patients. Recommended dosing provided for both adult and pediatric populations.","In a study evaluating the efficacy of a treatment in adult and pediatric patients with BRAF V600E mutation positive solid tumors, the overall response rate (ORR) was 41% in adult patients and 25% in pediatric patients. The ORR varied among different tumor types, with biliary tract cancer having an ORR of 46%, high grade glioma at 33%, and low grade glioma at 50% in adults. In pediatric patients, the duration of response (DOR) was at least 6 months for 78% of patients and at least 24 months for 44% of patients. Overall survival (OS) and progression-free survival (PFS) outcomes were not specifically mentioned in the summary provided."
page_136.txt,tisagenlecleucel (Kymriah),follicular lymphoma (FL),90 patients in the primary efficacy analysis,Not provided,Not provided,Not provided,Not provided,Not provided,Not provided,"{'Overall Response Rate (ORR)': '86%', 'Complete Response (CR) Rate': '68%', 'Duration of Response (DOR)': 'Median DOR not reached, 75% responders still in response at 9 months'}","The FDA granted accelerated approval to tisagenlecleucel for adult patients with relapsed or refractory follicular lymphoma based on the ELARA trial. The trial showed an overall response rate of 86% with a complete response rate of 68%. The median duration of response was not reached, with 75% of responders still in response at 9 months. Common adverse reactions included cytokine release syndrome, infection, fatigue, musculoskeletal pain, headache, and diarrhea.","In this oncology study, the overall response rate (ORR) was 86% with a complete response (CR) rate of 68%. The median duration of response (DOR) was not reached, with 75% of responders still in response at 9 months. Among all patients who underwent leukapheresis, the ORR was 86% with a CR rate of 67%. These results suggest a high level of efficacy in terms of response outcomes. Further analysis showed promising results in terms of progression-free survival (PFS) and overall survival (OS), indicating potential benefits for patients in terms of survival outcomes."
page_137.txt,Nivolumab (Opdivo),Esophageal squamous cell carcinoma (ESCC),970,"{'nivolumab, fluorouracil, and cisplatin': '13.2 months', 'nivolumab and ipilimumab': '12.8 months'}",10.7 months,"{'nivolumab, fluorouracil, and cisplatin vs. chemotherapy': '26%', 'nivolumab and ipilimumab vs. chemotherapy': '22%'}",{},{},{},"{'Adverse Reactions (nivolumab and fluoropyrimidine- and platinum-containing chemotherapy)': ['nausea', 'decreased appetite', 'fatigue', 'constipation', 'stomatitis', 'diarrhea', 'vomiting'], 'Adverse Reactions (nivolumab and ipilimumab)': ['rash', 'fatigue', 'pyrexia', 'nausea', 'diarrhea', 'constipation']}","Nivolumab in combination with chemotherapy or ipilimumab showed significant improvements in overall survival for patients with advanced or metastatic esophageal squamous cell carcinoma compared to chemotherapy alone. Common adverse reactions included nausea, fatigue, and diarrhea.","In the CHECKMATE-648 study, which included 970 patients with unresectable advanced, recurrent, or metastatic esophageal squamous cell carcinoma (ESCC), significant improvements in overall survival (OS) were observed with nivolumab-containing regimens compared to chemotherapy. The hazard ratios (HR) for OS were 0.74 for nivolumab, fluorouracil, and cisplatin vs. chemotherapy, and 0.78 for nivolumab and ipilimumab vs. chemotherapy. In the intention-to-treat (ITT) population, median OS was 13.2 months with nivolumab, fluorouracil, and cisplatin, 12.8 months with nivolumab and ipilimumab, and 10.7 months with fluorouracil and cisplatin. In the subgroup with tumor cell PD-L1 ≥1%, the HRs for OS were 0.54 for nivolumab, fluorouracil, and cisplatin vs. chemotherapy, and 0.64 for nivolumab and ipilimumab vs. chemotherapy. These results demonstrate the efficacy of nivolumab-containing regimens in improving OS in patients with ESCC."
page_138.txt,Ivosidenib (Tibsovo),Acute myeloid leukemia (AML) with IDH1 mutation,146,24.0 months,7.9 months,67.09%,Not provided,Not provided,Not provided,"{'EFS': 'HR 0.35; 95% CI: 0.17, 0.72, p=0.0038', 'CR': '47% in treatment arm, 15% in control arm', 'Duration of CR': 'NE in treatment arm, 11.2 months in control arm', 'Adverse Reactions': ['Diarrhea', 'Fatigue', 'Edema', 'Nausea', 'Vomiting', 'Decreased appetite', 'Leukocytosis', 'Arthralgia', 'Dyspnea', 'Abdominal pain', 'Mucositis', 'Rash', 'Electrocardiogram QT prolonged', 'Differentiation syndrome', 'Myalgia']}","Ivosidenib in combination with azacitidine showed a significant improvement in overall survival (OS) for newly diagnosed AML patients with IDH1 mutation, with a 67.09% increase in OS compared to the control arm. The treatment also demonstrated a higher complete remission rate and longer duration of complete remission. Common adverse reactions include diarrhea, fatigue, and differentiation syndrome.","In this study, the combination of ivosidenib plus azacitidine showed significant improvements in event-free survival (EFS), overall survival (OS), and complete remission (CR) rates compared to placebo plus azacitidine in patients. The EFS events occurred less frequently in the ivosidenib plus azacitidine arm (65% vs. 84% in the placebo arm). Median OS was longer in the ivosidenib plus azacitidine arm (24.0 months vs. 7.9 months in the placebo arm). The CR rate was higher in the ivosidenib plus azacitidine arm (47% vs. 15% in the placebo arm), with a longer median duration of CR in the ivosidenib plus azacitidine arm. These results suggest that the combination therapy is more effective in improving survival outcomes and achieving complete remission in patients."
page_139.txt,Azacitidine (Vidaza),Juvenile Myelomonocytic Leukemia (JMML),18,Not provided,Not provided,Not provided,Not provided,Not provided,Not provided,"{'Clinical Complete Remission (cCR)': '3 patients', 'Clinical Partial Remission (cPR)': '6 patients', 'Proportion of patients undergoing HSCT': '94%', 'Median time to response': '1.2 months', 'Most common adverse reactions': ['Pyrexia', 'Rash', 'Upper respiratory tract infection', 'Anemia']}","Azacitidine (Vidaza) was approved for pediatric patients with newly diagnosed JMML. The study evaluated the efficacy of azacitidine prior to HSCT in 18 pediatric patients, with 50% showing clinical responses. Most common adverse reactions included pyrexia, rash, upper respiratory tract infection, and anemia.","Efficacy was evaluated in AZA-JMML-001 (NCT02447666), an international, multicenter, open-label study to evaluate the pharmacokinetics, pharmacodynamics,"
page_14.txt,Obecabtagene autoleucel (Aucatzyl),B-cell precursor acute lymphoblastic leukemia (ALL),65,Not provided,Not provided,Not provided,Not provided,Not provided,Not provided,"{'Rate and duration of complete remission (CR) achieved within 3 months after infusion': '42% achieved CR within 3 months, median duration of CR achieved within 3 months was 14.1 months', 'Rate and duration of overall complete remission': 'Not provided', 'Adverse reactions': 'Common adverse reactions included CRS, infections, musculoskeletal pain, viral infections, fever, nausea, bacterial infections, diarrhea, febrile neutropenia, ICANS, hypotension, pain, fatigue, headache, encephalopathy, and hemorrhage'}",Obecabtagene autoleucel (Aucatzyl) was approved for adults with relapsed or refractory B-cell precursor acute lymphoblastic leukemia. Efficacy was evaluated in a trial where 42% of patients achieved complete remission within 3 months. Adverse reactions included cytokine release syndrome and neurologic toxicities. The recommended dose is 410 X 106 CD19 CAR-positive viable T cells administered as split dose infusion.,Efficacy and
page_140.txt,fam-trastuzumab deruxtecan-nxki (Enhertu),HER2-positive breast cancer,524,OS not mature at the time of analysis,OS not mature at the time of analysis,OS not mature at the time of analysis,"PFS not reached (95% CI: 18.5, not estimable)","6.8 months (95% CI: 5.6, 8.2)","Hazard ratio 0.28 (95% CI: 0.22, 0.37; p-value<0.0001)","{'ORR': {'Enhertu arm': '82.7% (95% CI: 77.4, 87.2)', 'Ado-trastuzumab emtansine arm': '36.1% (95% CI: 30.0, 42.5)'}}","The study evaluated fam-trastuzumab deruxtecan-nxki (Enhertu) in patients with HER2-positive breast cancer who had received prior anti-HER2-based regimens. The trial showed a significant improvement in progression-free survival with Enhertu compared to ado-trastuzumab emtansine. Overall survival data was not mature at the time of analysis. Enhertu also demonstrated a higher objective response rate compared to the control arm. Common adverse reactions included nausea, fatigue, and vomiting.","In the DESTINY-Breast03 study, patients with HER2-positive metastatic breast cancer treated with Enhertu had a significantly longer median progression-free survival (PFS) compared to those receiving ado-trastuzumab emtansine (not reached vs. 6.8 months). The hazard ratio for PFS was 0.28, indicating a significant benefit with Enhertu. Overall survival (OS) data was immature at the time of the analysis. The confirmed objective response rate (ORR) was higher in the Enhertu arm (82.7%) compared to the ado-trastuzumab emtansine arm (36.1%). These results suggest that Enhertu may be a more effective treatment option for patients with HER2-positive metastatic breast cancer who have received prior trastuzumab and taxane therapy."
page_141.txt,Alpelisib (Vijoice),PIK3CA-related overgrowth spectrum (PROS),37,Not provided,Not provided,Not provided,Not provided,Not provided,Not provided,"{'Radiological Response at Week 24': '27% (95% CI: 14, 44)', 'Duration of Response': '60% had a response lasting 12 months or longer', 'Common Adverse Reactions': ['Diarrhea', 'Stomatitis', 'Hyperglycemia']}","Alpelisib (Vijoice) received accelerated approval for patients with severe manifestations of PIK3CA-related overgrowth spectrum (PROS). Efficacy was evaluated in 37 patients, with 27% showing a radiological response at Week 24. Common adverse reactions included diarrhea, stomatitis, and hyperglycemia.","In the study evaluating the efficacy of alpelisib in patients with PROS, 27% of patients had a radiological response at week 24, with 60% of responders having a response lasting 12 months or longer. The study included 37 patients with severe or life-threatening manifestations of PROS and documented PIK3CA gene mutations. Progression-Free Survival (PFS) and Overall Survival (OS) data were not provided in the summary."
page_142.txt,axicabtagene ciloleucel,large B-cell lymphoma (LBCL),359,Not provided,Not provided,Not provided,Not provided,Not provided,Not provided,"{'Event-free Survival (EFS)': {'Hazard Ratio': 0.4, '18-month EFS Rate (axicabtagene ciloleucel arm)': '41.5%', '18-month EFS Rate (standard therapy arm)': '17.0%', 'Median EFS (axicabtagene ciloleucel arm)': '8.3 months', 'Median EFS (standard therapy arm)': '2.0 months'}, 'Objective Response Rate (ORR)': {'Axicabtagene ciloleucel arm': '83%', 'Standard therapy arm': '50%'}, 'Adverse Reactions': ['Cytokine release syndrome (CRS)', 'Neurologic toxicities', 'Fever', 'Hypotension', 'Encephalopathy', 'Fatigue', 'Tachycardia', 'Headache', 'Nausea', 'Febrile neutropenia', 'Diarrhea', 'Musculoskeletal pain', 'Infections with pathogen unspecified', 'Chills', 'Decreased appetite']}","The study evaluated the efficacy of axicabtagene ciloleucel in adult patients with refractory large B-cell lymphoma. Axicabtagene ciloleucel demonstrated significantly longer event-free survival compared to standard therapy, with higher objective response rates. Adverse reactions included cytokine release syndrome and neurologic toxicities. The study highlighted the potential of axicabtagene ciloleucel as a treatment option for this patient population.","In a study comparing axicabtagene ciloleucel to standard therapy, axicabtagene ciloleucel showed significantly longer event-free survival (EFS) with a hazard ratio of 0.40. The 18-month EFS rate was 41.5% in the axicabtagene ciloleucel arm compared to 17.0% in the standard therapy arm. The median EFS was 8.3 months for axicabtagene ciloleucel and 2.0 months for standard therapy. The objective response rate was higher in the axicabtagene ciloleucel arm at 83% compared to 50% in the standard therapy arm. However, axicabtagene ciloleucel comes with a boxed warning for cytokine release syndrome (CRS) and neurologic toxicities, with CRS occurring in 90% of patients and neurologic toxicities in 78% of patients."
page_143.txt,Pluvicto,Prostate-specific membrane antigen (PSMA)-positive metastatic castration-resistant prostate cancer (mCRPC),551,15.3 months,11.3 months,35.40%,not specified,not specified,not specified,"{'ORR': 'not specified', 'DOR': 'not specified'}","Pluvicto was approved for the treatment of adult patients with PSMA-positive mCRPC who have been previously treated with AR pathway inhibition and taxane-based chemotherapy. In a trial of 551 patients, Pluvicto plus BSoC showed a statistically significant improvement in OS compared to BSoC alone, with a 35.4% increase in median OS. Common adverse reactions included fatigue, dry mouth, and nausea.","In the VISION study, Pluvicto plus best standard of care (BSoC) showed a significant improvement in overall survival (OS) and radiographic progression-free survival (rPFS) compared to BSoC alone in men with PSMA-positive mCRPC. The hazard ratio (HR) for OS was 0.62, with a median OS of 15.3 months in the Pluvicto plus BSoC arm versus 11.3 months in the BSoC arm. The trial also demonstrated a limited interpretation of the rPFS effect due to high censoring in the control arm. Overall, the combination of Pluvicto and BSoC showed promising results in improving survival outcomes for patients with metastatic castration-resistant prostate cancer."
page_144.txt,Pembrolizumab (Keytruda),Endometrial carcinoma,90,Not provided,Not provided,Not provided,Not provided,Not provided,Not provided,"{'ORR': '46%', 'DOR': 'Median not reached, 68% with response durations ≥12 months, 44% with response durations ≥24 months'}","Pembrolizumab was approved for patients with advanced endometrial carcinoma that is MSI-H or dMMR, who have disease progression following prior systemic therapy and are not candidates for curative surgery or radiation. Efficacy was evaluated in a trial with 90 patients, showing an ORR of 46% and a median duration of response not reached, with a significant proportion having response durations ≥12 and ≥24 months.","In the KEYNOTE-158 study of 90 patients with unresectable or metastatic MSI-H or dMMR endometrial carcinoma, pembrolizumab showed promising efficacy. The objective response rate (ORR) was 46%, with a median duration of response (DoR) not reached. 68% of patients had response durations of at least 12 months, and 44% had response durations of at least 24 months. Overall survival (OS) and progression-free survival (PFS) data were not provided in the summary. The study demonstrated encouraging response outcomes in this patient population, supporting the use of pembrolizumab in this setting."
page_145.txt,Opdualag (nivolumab and relatlimab),Metastatic or unresectable Stage III or IV melanoma,714,NR,34.1 months,Not statistically significant,10.1 months,4.6 months,"HR=0.75; 95% CI: 0.62, 0.92; p-value=0.0055","{'Adverse Reactions': ['musculoskeletal pain', 'fatigue', 'rash', 'pruritus', 'diarrhea'], 'Common Laboratory Abnormalities': ['decreased hemoglobin', 'decreased lymphocytes', 'increased AST', 'increased ALT', 'decreased sodium']}","Opdualag (nivolumab and relatlimab) showed a statistically significant improvement in progression-free survival compared to nivolumab in patients with metastatic or unresectable melanoma. However, the overall survival difference was not statistically significant. Common adverse reactions included musculoskeletal pain, fatigue, rash, pruritus, and diarrhea.","In the RELATIVITY-047 study, Opdualag (nivolumab and relatlimab) showed a significant improvement in progression-free survival (PFS) compared to nivolumab alone, with a median PFS of 10.1 months vs. 4.6 months. However, the overall survival (OS) results were not statistically significant, with a median OS not reached in the Opdualag arm and 34.1 months in the nivolumab arm. Response outcomes such as objective response rate (ORR), duration of response (DOR), complete response (CR), and partial response (PR) were not specifically mentioned in the summary provided."
page_146.txt,Olaparib (Lynparza),High-risk early breast cancer with deleterious or suspected deleterious germline BRCA-mutated (gBRCAm) HER2-negative,1836,Not provided,Not provided,Not provided,Not provided,Not provided,Not provided,"{'IDFS': {'HR': '0.58', '95% CI': '0.46, 0.74', 'p-value': '<0.0001', '3-year IDFS': {'Olaparib': '86%', 'Placebo': '77%'}}, 'Overall Survival': {'HR': '0.68', '95% CI': '0.50, 0.91', 'p-value': '0.0091'}, 'Adverse Reactions': ['Nausea', 'Fatigue', 'Anemia', 'Vomiting', 'Headache', 'Diarrhea', 'Leukopenia', 'Neutropenia', 'Decreased appetite', 'Dysgeusia', 'Dizziness', 'Stomatitis']}","The FDA approved olaparib for the adjuvant treatment of high-risk early breast cancer patients with gBRCAm HER2-negative mutations. The OlympiA study showed a significant improvement in invasive disease-free survival and overall survival with olaparib compared to placebo. Common adverse reactions included nausea, fatigue, anemia, and vomiting. Olaparib demonstrated efficacy in reducing the risk of recurrence and death in this patient population.","The study showed that patients receiving olaparib had a significantly higher invasive disease-free survival (IDFS) rate compared to those receiving a placebo, with a hazard ratio (HR) of 0.58 and a 3-year IDFS of 86% vs. 77%. Overall survival (OS) was also improved in the olaparib arm, with a HR of 0.68 and fewer deaths (8% vs. 12%) compared to the placebo arm. The study demonstrated a statistically significant improvement in both IDFS and OS for patients receiving olaparib (Lynparza) compared to those receiving a placebo. Additional response outcomes such as objective response rate (ORR), duration of response (DOR), complete response (CR), and partial response (PR) were not specifically mentioned in the provided text."
page_147.txt,Nivolumab (Opdivo),Non-small cell lung cancer (NSCLC),358,"31.6 months (95% CI: 30.2, not reached)","20.8 months (95% CI: 14.0, 26.7)","Hazard ratio 0.63 (97.38% CI: 0.43, 0.91; p=0.0052)",Not provided,Not provided,Not provided,"{'Event-free Survival (EFS)': 'Median EFS 31.6 months in treatment arm vs 20.8 months in control arm', 'Pathologic Complete Response (pCR)': 'pCR rate 24% in treatment arm vs 2.2% in control arm', 'Adverse Reactions': 'Nausea, constipation, fatigue, decreased appetite, rash'}","FDA approved nivolumab with platinum-doublet chemotherapy for resectable NSCLC in the neoadjuvant setting, showing significant improvement in overall survival and pathologic complete response rates compared to chemotherapy alone.","In the CHECKMATE-816 study, patients with resectable NSCLC were randomized to receive nivolumab plus chemotherapy or chemotherapy alone. The study showed a significant improvement in event-free survival (EFS) with a median of 31.6 months in the nivolumab plus chemotherapy arm compared to 20.8 months in the chemotherapy alone arm. The hazard ratio was 0.63, indicating a lower risk of events in the nivolumab group. Additionally, the pathologic complete response (pCR) rate was higher in the nivolumab plus chemotherapy arm at 24% compared to 2.2% in the chemotherapy alone arm. These results suggest that the combination of nivolumab and chemotherapy may improve outcomes in patients with resectable NSCLC."
page_148.txt,Ciltacabtagene autoleucel (CARVYKTI),Multiple Myeloma,97,Not provided,Not provided,Not provided,Not provided,Not provided,Not provided,"{'Overall Response Rate (ORR)': '97.9%', 'Duration of Response (DOR)': '21.8 months'}","Ciltacabtagene autoleucel was approved for adult patients with relapsed or refractory multiple myeloma after multiple prior lines of therapy. The CARTITUDE-1 trial showed a high overall response rate of 97.9% with a median duration of response of 21.8 months. Adverse reactions included cytokine release syndrome and nervous system toxicities, leading to a boxed warning on the label.","The CARTITUDE-1 study evaluated ciltacabtagene autoleucel in 97 patients with relapsed or refractory multiple myeloma. The overall response rate (ORR) was 97.9%, with a median duration of response (DOR) of 21.8 months. The study showed promising efficacy in patients who had received at least three prior lines of therapy, including a PI, an IMiD, and an anti-CD38 monoclonal antibody. The study also found that the most common adverse events were cytokine release syndrome (CRS), hemophagocytic lymphohistiocytosis/macrophage activation syndrome (HLH/MAS), Immune Effector Cell-Associated Neurotoxicity Syndrome (ICANS), Parkinsonism, Guillain-Barré syndrome, and cytopenia. These adverse events can be fatal or life-threatening."
page_149.txt,tebentafusp-tebn (Kimmtrak),metastatic uveal melanoma,378,21.7 months,16 months,51%,3.3 months,2.9 months,73%,"{'Adverse Reactions': ['cytokine release syndrome', 'rash', 'pyrexia', 'pruritus', 'fatigue', 'nausea', 'chills', 'abdominal pain', 'edema', 'hypotension', 'dry skin', 'headache', 'vomiting'], 'Laboratory Abnormalities': ['decreased lymphocyte count', 'increased creatinine', 'increased glucose', 'increased aspartate aminotransferase', 'increased alanine aminotransferase', 'decreased hemoglobin', 'decreased phosphate']}",The study evaluated the efficacy of tebentafusp-tebn in patients with metastatic uveal melanoma. Patients treated with tebentafusp-tebn showed a significant improvement in overall survival (OS) with a median OS of 21.7 months compared to 16 months in the control arm. Progression-free survival (PFS) was also improved in the treatment arm with a median PFS of 3.3 months compared to 2.9 months in the control arm. Common adverse reactions and laboratory abnormalities were reported.,"In a study of 378 patients with metastatic uveal melanoma, tebentafusp-tebn showed improved overall survival (OS) with a median of 21.7 months compared to 16 months in the investigator's choice arm. Progression-free survival (PFS) was also longer with tebentafusp-tebn at 3.3 months compared to 2.9 months in the investigator's choice arm. The response outcomes were not specifically mentioned in the summary provided. The study demonstrated a significant benefit in OS and PFS for patients treated with tebentafusp-tebn compared to standard treatment options like pembrolizumab, ipilimumab, or dacarbazine."
page_15.txt,asciminib (Scemblix),Philadelphia chromosome-positive chronic myeloid leukemia (Ph+ CML) in chronic phase (CP),405,Not provided,Not provided,Not provided,Not provided,Not provided,Not provided,"{'Main Efficacy Outcome Measure': 'Major molecular response (MMR) rate at 48 weeks', 'MMR Rate at 48 weeks - Asciminib arm': '68%', 'MMR Rate at 48 weeks - IS-TKIs arm': '49%', 'Common Adverse Reactions': ['musculoskeletal pain', 'rash', 'fatigue', 'upper respiratory tract infection', 'headache', 'abdominal pain', 'diarrhea'], 'Common Laboratory Abnormalities': ['decreased lymphocyte count', 'decreased leukocyte count', 'decreased platelet count', 'decreased neutrophil count', 'decreased calcium corrected']}","Asciminib (Scemblix) received accelerated approval for adult patients with newly diagnosed Philadelphia chromosome-positive chronic myeloid leukemia in chronic phase. The ASC4FIRST trial showed a significant improvement in major molecular response rate at 48 weeks with asciminib compared to investigator-selected tyrosine kinase inhibitors. Common adverse reactions included musculoskeletal pain, rash, and fatigue. The recommended dosage is 80 mg once daily or 40 mg twice daily.",Efficacy and
page_150.txt,Abatacept (Orencia),Acute Graft Versus Host Disease (aGVHD),N/A,97% OS rate at Day 180 after HSCT,84% OS rate at Day 180 after HSCT,13%,N/A,N/A,N/A,"{'Severe aGVHD-free survival': 'HR 0.55; 95% CI 0.26, 1.18', 'Moderate-severe aGVHD-free survival': 'HR 0.54; 95% CI 0.35, 0.83'}","Abatacept (Orencia) was approved for the prophylaxis of aGVHD in combination with a CNI and MTX for patients undergoing HSCT. The OS rate at Day 180 after HSCT was significantly higher in patients receiving abatacept compared to placebo, with a 13% improvement in OS. Additional evidence from a registry-based study also showed improved OS with abatacept. Common adverse reactions include anemia, hypertension, and infections. The drug received priority review, breakthrough designation, and orphan drug designation.","Overall, the use of abatacept in combination with a CNI and MTX in patients undergoing HSCT showed improved overall survival rates at Day 180 compared to placebo or CNI and MTX alone. In GVHD-1, patients receiving abatacept had a higher OS rate of 97% compared to 84% with placebo. In GVHD-2, patients treated with abatacept had an OS rate of 98% compared to 75% with CNI and MTX alone. While severe aGVHD-free survival was not significantly improved with abatacept, moderate-severe aGVHD-free survival was better with abatacept in both studies. These results suggest that abatacept may be effective in improving overall survival outcomes in patients undergoing HSCT from matched or 1 allele-mismatched unrelated donors."
page_151.txt,"Pembrolizumab (Keytruda, Merck)",Stage IIB or IIC melanoma,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,{'Recurrence-free survival (RFS)': 'Statistically significant improvement in RFS with hazard ratio of 0.65'},"Pembrolizumab was approved for adjuvant treatment of stage IIB or IIC melanoma following complete resection. The KEYNOTE-716 trial showed a significant improvement in recurrence-free survival with pembrolizumab compared to placebo. Common adverse reactions included fatigue, diarrhea, pruritus, and arthralgia.","In the KEYNOTE-716 study, patients with completely resected stage IIB or IIC melanoma were randomized to receive pembrolizumab or placebo. The trial showed a significant improvement in recurrence-free survival (RFS) with pembrolizumab compared to placebo, with a hazard ratio of 0.65. The median RFS was not reached in either arm at the time of the first interim analysis. Overall survival (OS) and progression-free survival (PFS) data were not provided in the summary. Additional response outcomes such as objective response rate (ORR), duration of response (DOR), complete response (CR), and partial response (PR) were not mentioned in the study results."
page_152.txt,Rituximab,"Diffuse large B-cell lymphoma (DLBCL), Burkitt lymphoma (BL), Burkitt-like lymphoma (BLL), or mature B-cell acute leukemia (B-AL)",328,Not provided,Not provided,64% (HR 0.36),Not provided,Not provided,Not provided,"{'EFS': 'HR 0.32; 90% CI: 0.17, 0.58; p=0.0012'}","Rituximab in combination with chemotherapy showed a 64% improvement in overall survival (HR 0.36) in pediatric patients with previously untreated advanced stage DLBCL, BL, BLL, or B-AL. The study demonstrated a significant reduction in event-free survival events in the rituximab group compared to chemotherapy alone.","In the Inter-B-NHL Ritux 2010 study, patients with previously untreated advanced stage CD20-positive DLBCL/BL/BLL/B-AL were randomized to receive LMB chemotherapy alone or in combination with rituximab. The interim analysis showed a significant improvement in event-free survival (EFS) with rituximab-LMB compared to LMB alone (HR 0.32). Overall survival (OS) also favored the rituximab-LMB group, with a HR of 0.36. Response outcomes were not specifically mentioned in the summary, but the addition of rituximab to chemotherapy showed promising results in terms of EFS and OS in this patient population."
page_153.txt,Darzalex Faspro + Kyprolis + Dexamethasone,Multiple Myeloma,66,Not provided,Not provided,Not provided,Not provided,Not provided,Not provided,"{'ORR': '84.8%', 'DOR': 'Median duration of response not reached', 'Maintained Response (6 months)': '85.2%', 'Maintained Response (9 months)': '82.5%'}","The study evaluated the efficacy of Darzalex Faspro, Kyprolis, and dexamethasone in 66 patients with relapsed or refractory multiple myeloma. The overall response rate was 84.8%, with a median duration of response not reached. A high percentage of patients maintained response for at least 6 and 9 months. Common adverse reactions included upper respiratory tract infections, fatigue, and hypertension.","In the PLEIADES study, a cohort of 66 relapsed or refractory multiple myeloma patients received Darzalex Faspro, Kyprolis, and dexamethasone. The overall response rate (ORR) was 84.8%, with a median duration of response not reached at 9.2 months. 85.2% maintained response for at least 6 months, and 82.5% maintained response for at least 9 months. Overall survival (OS) and progression-free survival (PFS) data were not provided in the summary."
page_154.txt,Pafolacianine (Cytalux),Ovarian cancer,178,Not provided,Not provided,Not provided,Not provided,Not provided,Not provided,"{'ORR': 'Not provided', 'DOR': 'Not provided'}","Pafolacianine was approved for adult patients with ovarian cancer for intraoperative identification of malignant lesions. Efficacy was evaluated in a study of 178 women, showing improved detection of ovarian cancer lesions with pafolacianine. Common adverse reactions included nausea, vomiting, and abdominal pain. The recommended dose is 0.025 mg/kg administered intravenously before surgery.","In a study of 178 women with ovarian cancer or high suspicion, pafolacianine was used for fluorescence imaging during surgery. 26.9% of patients had ovarian cancer lesions detected with pafolacianine that were missed by standard inspection. The false positive rate of pafolacianine was 20.2%. Overall Survival (OS) and Progression-Free Survival (PFS) outcomes were not reported."
